"","max_words","bacht_size","epochs","accuracy"
"1",3000,32,1,0.784951031208038
"2",3000,32,2,0.811665177345276
"3",3000,32,3,0.799198567867279
"4",3000,32,4,0.804541409015656
"5",3000,32,5,0.796527147293091
"6",3000,32,6,0.800534307956696
"7",3000,32,7,0.794300973415375
"8",3000,32,8,0.802315235137939
"9",3000,32,9,0.794746220111847
"10",3000,32,10,0.792074799537659
"11",3000,64,1,0.795191466808319
"12",3000,64,2,0.798753321170807
"13",3000,64,3,0.796527147293091
"14",3000,64,4,0.798308074474335
"15",3000,64,5,0.791184306144714
"16",3000,64,6,0.791184306144714
"17",3000,64,7,0.794746220111847
"18",3000,64,8,0.791184306144714
"19",3000,64,9,0.791184306144714
"20",3000,64,10,0.789848625659943
